Team,Week 1,Team,Week 2,Team,Week 3,Team,Week 4,Team,Week 5,Team,Week 6,Team,Week 7,Team,Week 8,Team,Week 9,Team,Week 10,Team,Week 11,Team,Week 12,Team,Week 13,Team,Week 14,Team,Week 15,Team,Week 16,Team,Week 17
Clemson,1619,Clemson,1594,Clemson,1572,Clemson,1622,Clemson,1622,Alabama,1562,Alabama,1602,Alabama,1601,Alabama,1602,Alabama,1593,Alabama,1591,LSU,1591,LSU,1615,LSU,1561,LSU,1577,LSU,1605,LSU,1625
Alabama,1566,Alabama,1540,Alabama,1513,Alabama,1560,Alabama,1558,Clemson,1526,Clemson,1531,Clemson,1536,Clemson,1511,LSU,1515,LSU,1531,Ohio State,1523,Ohio State,1550,Ohio State,1510,Ohio State,1548,Ohio State,1562,Clemson,1558
Georgia,1447,Georgia,1435,Georgia,1415,Georgia,1463,Georgia,1475,Georgia,1446,Georgia,1459,LSU,1455,LSU,1486,Clemson,1508,Clemson,1495,Clemson,1491,Clemson,1513,Clemson,1464,Clemson,1482,Clemson,1513,Ohio State,1497
Oklahoma,1415,Oklahoma,1395,Oklahoma,1362,Oklahoma,1409,Oklahoma,1388,Oklahoma,1373,Ohio State,1422,Ohio State,1454,Ohio State,1461,Ohio State,1491,Ohio State,1492,Alabama,1356,Georgia,1383,Georgia,1351,Georgia,1394,Oklahoma,1430,Georgia,1395
Ohio State,1368,Ohio State,1340,LSU,1314,LSU,1361,LSU,1378,Ohio State,1362,Oklahoma,1378,Oklahoma,1414,Oklahoma,1408,Penn State,1359,Penn State,1361,Georgia,1327,Alabama,1366,Alabama,1325,Utah,1326,Georgia,1294,Oregon,1314
LSU,1218,LSU,1260,Ohio State,1309,Ohio State,1342,Ohio State,1335,LSU,1349,LSU,1364,Wisconsin,1297,Penn State,1283,Florida,1271,Georgia,1263,Oregon,1269,Oregon,1301,Utah,1252,Oklahoma,1294,Oregon,1189,Oklahoma,1275
Michigan,1155,Michigan,1155,Notre Dame,1118,Notre Dame,1182,Auburn,1198,Auburn,1198,Florida,1218,Penn State,1182,Notre Dame,1160,Georgia,1180,Oregon,1236,Minnesota,1154,Oklahoma,1219,Oklahoma,1223,Florida,1135,Florida,1172,Florida,1250
Florida,1103,Notre Dame,1055,Florida,1064,Florida,1095,Florida,1138,Florida,1100,Wisconsin,1164,Notre Dame,1107,Florida,1151,Oregon,1163,Oklahoma,1143,Oklahoma,1128,Utah,1177,Florida,1074,Baylor,1117,Baylor,1161,Alabama,1198
Notre Dame,1100,Texas,1044,Auburn,993,Auburn,1093,Wisconsin,1100,Wisconsin,1097,Penn State,1051,Florida,1057,Georgia,1099,Oklahoma,1069,Utah,1111,Utah,1096,Penn State,1081,Minnesota,1014,Alabama,1068,Alabama,1092,Penn State,1080
Texas,1038,Florida,990,Michigan,945,Michigan,928,Notre Dame,980,Notre Dame,987,Notre Dame,1033,Georgia,1049,Auburn,1071,Utah,1048,Baylor,980,Baylor,1028,Florida,1031,Baylor,924,Wisconsin,952,Utah,1005,Minnesota,962
Texas A&M,893,Texas A&M,932,Penn State,868,Utah,915,Penn State,964,Penn State,978,Texas,971,Auburn,998,Oregon,1011,Baylor,921,Florida,941,Penn State,942,Minnesota,899,Michigan,893,Penn State,946,Wisconsin,988,Notre Dame,932
Washington,834,Washington,868,Utah,839,Penn State,864,Texas,959,Texas,912,Auburn,929,Oregon,955,Utah,858,Auburn,869,Auburn,914,Florida,937,Michigan,851,Penn State,857,Auburn,897,Penn State,967,Baylor,929
Oregon,787,Auburn,857,Texas,823,Texas,847,Oregon,816,Oregon,813,Oregon,866,Boise State,795,Wisconsin,824,Minnesota,840,Minnesota,880,Auburn,863,Baylor,841,Oregon,816,Oregon,878,Auburn,962,Wisconsin,901
Penn State,699,Penn State,774,Wisconsin,739,Wisconsin,806,Iowa,778,Iowa,790,Boise State,732,Utah,768,Baylor,730,SMU,727,Michigan,746,Michigan,731,Wisconsin,786,Wisconsin,799,Notre Dame,776,Notre Dame,771,Auburn,703
Utah,642,Utah,738,Texas A&M,668,Texas A&M,702,Boise State,558,Boise State,621,Utah,655,Texas,695,Texas,722,Michigan,652,Notre Dame,660,Wisconsin,670,Notre Dame,760,Notre Dame,737,Minnesota,688,Memphis,667,Iowa,686
Auburn,606,Wisconsin,568,UCF,584,UCF,697,California,505,Washington,608,Michigan,648,Michigan,674,Minnesota,631,Notre Dame,624,Wisconsin,591,Notre Dame,659,Auburn,614,Auburn,652,Memphis,630,Minnesota,654,Utah,673
UCF,436,UCF,513,Oregon,568,Oregon,586,Washington,485,Utah,532,Wake Forest,498,Arizona State,504,SMU,609,Wisconsin,537,Cincinnati,549,Cincinnati,590,Cincinnati,566,Cincinnati,535,Boise State,558,Michigan,592,Memphis,553
Wisconsin,436,Oregon,422,Iowa,496,Iowa,553,Virginia,450,Michigan,417,Iowa,441,Baylor,501,Cincinnati,461,Cincinnati,523,Iowa,527,Memphis,517,Memphis,539,Memphis,528,Michigan,542,Boise State,566,Appalachian State,474
