Team,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Absolute_Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296
Air Force,0,0,5,12,13,34,96,328,565,373,68,0,4,19,4,3,3,3,0,7,26,53,81,132,16,39,6,4,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,10,51,31,20,20,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,51,15,22,44,151,5,1,0,0,2,0,1,0,4,15,10,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,45,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,59,0,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,25,43,74,129,151,265
Akron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,7,17,26,0,0,5,34,8,21,26,2,1,1,1,0,194,245,213,340,609,982,1156,1255,1277,1349,1398,1088,727,731,787,1066,210,156,150,314,52,0,0,1,0,0,0,0,0,0,0,0,16,21,34,345,154,5,6,13,177,439,174,0,0,0,0,0,0,83,538,611,771,939,1350,1339,1452,1436,1439,1498,1508,1508,1518,1521,1309,1157,1134,1299,1277,1355,1364,1366,1378,1398,1399,1390,1389,1388,1388,1380,1470,1450,1469,1470,1470,1470,1472,1449,1029,1085,1152,1213,791,828,885,501,521,860,1414,1412,1410,1402,1404,1408,1399,1403,1434,1434,1286,1340,1413,1411,1399,1475,1399,1447,1455,1470,1473,1472,1474,1475,1475,1475,1475,1243,1386,1398,1417,1400,1545,1545,1545,1549,1547,1544,1544,1545,1544,1542,1540,1546,1544,1544,1333,1414,1086,1455,1432,1435,1408,1466,1477,1065,1121,1293,1351,1349,1389,1494,1474,1507,1486,1363,1452,1485,1472,883,867,990,1052,1123,1196,1223,1410,1484,1531,1508,1438,1400,1585,1598,1598,1571,1597,1544,1570,1597,1599,1599,1598,1575,1575,1600,1450,1440,1603,1619,1497,1618,1570,1593,1617,1575,1600,1625,1624,1575,1600,1272,1312,1550,1621,1571,1571,1572,1597,1597,1597,1597,1548,1598,1599,1624,1599,1599,1598,1536,1566,1540,1513,1560,1558,1562,1602,1601,1602,1593,1591,1356,1366,1325,1068,1092,1198
Appalachian State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,3,9,4,1,3,0,1,1,3,2,2,4,5,0,0,3,2,0,11,0,1,2,1,0,0,0,1,0,0,0,0,0,0,2,16,9,12,13,25,34,38,55,78,0,2,14,18,14,32,56,4,4,6,12,27,28,49,140,300,398,24,133,224,232,331,375,474
Arizona,12,9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,0,0,0,16,0,11,2,5,11,0,0,0,0,21,3,5,4,0,2,2,0,7,149,320,472,87,15,31,237,11,65,128,410,610,689,835,367,494,628,704,403,164,279,47,1,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,296,16,0,0,0,0,14,0,0,5,3,0,1,5,7,21,29,33,4,4,0,0,0,1,4,0,2,0,0,2,1,6,7,18,45,59,743,502,612,652,307,487,726,818,1050,903,574,299,336,423,605,72,5,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,6,153,25,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0
Arizona State,0,0,0,0,0,0,3,5,9,129,472,139,23,0,0,1,2,297,260,342,491,637,157,15,0,0,0,0,0,0,0,0,0,0,1,1,1,3,79,113,314,486,194,346,144,331,411,421,167,173,377,304,589,285,395,629,374,44,36,0,0,0,0,0,0,0,2,182,92,159,397,39,0,0,0,0,0,0,0,0,0,0,0,0,3,18,67,151,466,763,936,1089,1221,946,1042,1158,756,900,900,635,560,679,737,113,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,158,189,353,16,57,177,343,86,253,445,49,2,0,0,0,0,0,0,0,5,22,40,61,133,21,2,3,0,0,13,8,10,51,28,48,176,19,4,4,13,51,57,130,262,352,574,765,602,302,358,502,646,732,792,148,354,471,654,712,854,1146,721,783,486,599,750,577,66,36,31,0,16,33,0,0,0,0,0,0,0,0,0,0,0,7,34,94,23,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,92,3,8,8,0,0,0,0,0,2,0,0,0,0,2,4,2,110,6,96,228,504,131,3,0,0,0,0,6,3,0
Arkansas,40,34,20,16,30,26,0,0,10,0,0,,,16,91,255,82,16,10,10,14,420,790,969,1084,827,404,21,5,0,9,30,5,74,12,10,11,1,8,20,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,7,2,39,23,264,532,700,816,946,1248,1302,1042,798,592,360,455,493,143,0,0,0,0,0,0,20,5,25,145,137,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,1,12,19,0,0,0,0,17,2,0,10,438,531,738,846,576,683,780,274,404,446,696,745,784,1012,1008,818,750,786,825,851,432,788,871,931,974,1046,1075,1170,1349,937,1112,1188,948,929,246,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,17,5,6,0,0,0,0,0,1,19,2,0,18,377,495,3,0,0,0,0,0,0,0,2,28,7,0,0,11,34,21,170,500,197,525,194,570,11,10,53,5,10,0,0,2,22,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
